time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2019-10-24 17:00:00,7484.06,7449.12,7480.52,874.26,6542589.28,7467.01,direct,
2019-10-24 18:00:00,7481.97,7459.42,7467.01,1127.24,8447838.74,7475.97,direct,
2019-10-24 19:00:00,7507.01,7464.71,7475.97,1171.76,8778773.04,7506.97,direct,
2019-10-24 20:00:00,7509.21,7473.56,7506.97,1151.36,8624038.83,7473.58,direct,
2019-10-24 21:00:00,7486.2,7461.75,7473.58,792.89,5933361.64,7463.12,direct,
2019-10-24 22:00:00,7491.07,7462.29,7463.12,591.26,4430875.4,7484.67,direct,
2019-10-24 23:00:00,7500.11,7443.93,7484.67,1069.58,8001434.2,7444.2,direct,
2019-10-25 00:00:00,7473.2,7439.35,7444.2,676.63,5048477.23,7452.61,direct,
2019-10-25 01:00:00,7479.03,7450.95,7452.61,583.73,4389666.51,7460.12,direct,
2019-10-25 02:00:00,7492.1,7457.55,7460.12,540.88,4049000.95,7468.16,direct,
2019-10-25 03:00:00,7486.47,7455.69,7468.16,506.46,3798433.12,7472.04,direct,
2019-10-25 04:00:00,7486.53,7454.14,7472.04,318.39,2389525.81,7470.18,direct,
2019-10-25 05:00:00,7491.38,7431.2,7470.18,1174.63,8752013.34,7475.91,direct,
2019-10-25 06:00:00,7506.82,7469.32,7475.91,1029.84,7725643.11,7482.31,direct,
2019-10-25 07:00:00,7510.54,7478.28,7482.31,926.39,6942475.57,7496.08,direct,
2019-10-25 08:00:00,7521.59,7477.31,7496.08,762.99,5736722.28,7488.31,direct,
2019-10-25 09:00:00,7502.17,7477.44,7488.31,338.85,2546700.83,7481.52,direct,
2019-10-25 10:00:00,7649.1,7480.65,7481.52,4552.78,34453679.68,7622.72,direct,
2019-10-25 11:00:00,7664.71,7592.98,7622.72,2761.63,21054881.66,7600.05,direct,
2019-10-25 12:00:00,7667.71,7600.05,7600.05,1868.44,14290833.72,7646.01,direct,
2019-10-25 13:00:00,7708.01,7644.03,7646.01,1938.71,14873534.98,7699.65,direct,
2019-10-25 14:00:00,7717.95,7669.11,7699.65,1983.04,15252398.68,7692.53,direct,
2019-10-25 15:00:00,8516.19,7692.53,7692.53,15579.8,126336312.51,8310.07,direct,
2019-10-25 16:00:00,8498.92,8307.02,8310.07,9971.37,83835884.72,8418.79,direct,
2019-10-25 17:00:00,8783.85,8412.61,8418.79,13928.39,119672650.28,8510.52,direct,
2019-10-25 18:00:00,8666.01,8481.9,8510.52,5551.48,47725239.01,8644.45,direct,
2019-10-25 19:00:00,8676.33,8563.12,8644.45,3860.04,33262461.47,8652.97,direct,
2019-10-25 20:00:00,8671.23,8579.44,8652.97,2497.62,21572223.66,8579.44,direct,
2019-10-25 21:00:00,8647.57,8577.11,8579.44,1928.92,16616703.82,8607.0,direct,
2019-10-25 22:00:00,8720.87,8588.53,8607.0,4187.59,36263417.7,8613.4,direct,
2019-10-25 23:00:00,8680.03,8613.4,8613.4,2309.13,19985941.72,8671.1,direct,
2019-10-26 00:00:00,9396.89,8654.84,8671.1,20427.91,184618406.93,9212.33,direct,
2019-10-26 01:00:00,10380.48,9210.75,9212.33,29233.57,285449927.78,10094.79,direct,
2019-10-26 02:00:00,10275.18,9601.78,10094.79,17851.41,176429798.48,9665.9,direct,
2019-10-26 03:00:00,9727.26,9474.8,9665.9,9637.61,92577373.37,9604.05,direct,
2019-10-26 04:00:00,9697.42,9525.7,9604.05,3751.82,36057667.4,9644.73,direct,
2019-10-26 05:00:00,9791.53,9619.72,9644.73,3179.6,30878300.64,9620.74,direct,
2019-10-26 06:00:00,9645.88,9551.89,9620.74,2675.93,25694897.04,9607.87,direct,
2019-10-26 07:00:00,9634.23,9341.92,9607.87,6241.0,59102703.84,9502.43,direct,
2019-10-26 08:00:00,9508.26,9363.58,9502.43,4740.83,44697421.42,9392.26,direct,
2019-10-26 09:00:00,9392.26,9035.88,9392.26,10844.47,99804070.61,9172.36,direct,
2019-10-26 10:00:00,9359.48,9155.76,9172.36,3033.21,28164944.35,9256.4,direct,
2019-10-26 11:00:00,9326.95,9176.08,9256.4,2523.65,23290694.93,9241.23,direct,
2019-10-26 12:00:00,9452.0,9211.67,9241.23,4277.73,40030828.01,9291.74,direct,
2019-10-26 13:00:00,9292.3,9106.06,9291.74,4636.04,42516429.05,9120.72,direct,
2019-10-26 14:00:00,9231.17,9074.53,9120.72,3165.07,28974355.25,9168.99,direct,
2019-10-26 15:00:00,9307.78,9157.41,9168.99,4116.58,38039498.06,9202.13,direct,
2019-10-26 16:00:00,9253.59,9070.79,9202.13,3686.88,33761772.51,9176.75,direct,
2019-10-26 17:00:00,9182.12,9092.28,9176.75,1930.09,17636592.84,9152.82,direct,
2019-10-26 18:00:00,9174.02,8924.59,9152.82,5961.2,54010267.31,9084.05,direct,
2019-10-26 19:00:00,9166.54,8936.9,9084.05,5365.21,48466100.02,9026.34,direct,
2019-10-26 20:00:00,9163.78,9021.97,9026.34,2351.93,21392943.85,9134.32,direct,
2019-10-26 21:00:00,9254.17,9095.15,9134.32,1677.68,15438686.38,9251.35,direct,
2019-10-26 22:00:00,9269.88,9162.12,9251.35,1458.44,13432573.54,9176.22,direct,
2019-10-26 23:00:00,9307.1,9154.38,9176.22,1880.74,17408826.81,9258.98,direct,
2019-10-27 00:00:00,9392.54,9216.43,9258.98,3596.74,33507991.18,9251.38,direct,
2019-10-27 01:00:00,9254.74,9136.63,9251.38,1618.31,14870778.16,9191.56,direct,
2019-10-27 02:00:00,9217.54,9180.2,9191.56,702.7,6491992.35,9207.76,direct,
2019-10-27 03:00:00,9230.57,9152.65,9207.76,608.53,5598116.15,9171.48,direct,
2019-10-27 04:00:00,9177.49,9114.58,9171.48,876.44,8018691.37,9137.66,direct,
2019-10-27 05:00:00,9219.04,9131.22,9137.66,733.58,6753654.86,9209.87,direct,
2019-10-27 06:00:00,9222.01,9182.81,9209.87,556.05,5123292.79,9210.65,direct,
2019-10-27 07:00:00,9239.33,9168.14,9210.65,705.21,6500367.85,9181.21,direct,
2019-10-27 08:00:00,9316.32,9180.63,9181.21,1363.1,12615332.26,9282.33,direct,
2019-10-27 09:00:00,9334.1,9258.89,9282.33,854.59,7949922.69,9266.35,direct,
2019-10-27 10:00:00,9443.86,9265.88,9266.35,2712.97,25449915.07,9418.32,direct,
2019-10-27 11:00:00,9652.19,9267.0,9418.32,9202.06,87172733.9,9300.3,direct,
2019-10-27 12:00:00,9348.93,9244.8,9300.3,1763.52,16416660.29,9334.86,direct,
2019-10-27 13:00:00,9531.9,9333.87,9334.86,4232.6,40006518.61,9464.13,direct,
2019-10-27 14:00:00,9593.98,9397.24,9464.13,4074.14,38734210.43,9544.35,direct,
2019-10-27 15:00:00,9628.14,9481.26,9544.35,3025.11,28904525.28,9554.66,direct,
2019-10-27 16:00:00,9794.17,9439.87,9554.66,8430.1,81291616.15,9709.56,direct,
2019-10-27 17:00:00,9738.41,9612.04,9709.56,2240.87,21654997.22,9677.32,direct,
2019-10-27 18:00:00,9709.41,9635.92,9677.32,1514.6,14653151.64,9662.71,direct,
2019-10-27 19:00:00,9805.42,9650.22,9662.71,2473.29,24074684.65,9751.76,direct,
2019-10-27 20:00:00,9771.61,9584.85,9751.76,4473.39,43342902.19,9621.58,direct,
2019-10-27 21:00:00,9708.94,9523.2,9621.58,2616.11,25153160.15,9633.76,direct,
2019-10-27 22:00:00,9722.75,9548.8,9633.76,3534.73,34047614.52,9582.56,direct,
2019-10-27 23:00:00,9604.03,9478.49,9582.56,2764.38,26393511.29,9550.6,direct,
2019-10-28 00:00:00,9731.67,9550.6,9550.6,2416.28,23319021.28,9726.53,direct,
2019-10-28 01:00:00,9934.71,9667.42,9726.53,8877.24,87222055.49,9761.9,direct,
2019-10-28 02:00:00,9802.79,9677.63,9761.9,2184.55,21282566.95,9765.29,direct,
2019-10-28 03:00:00,9769.07,9635.35,9765.29,1649.2,15998559.22,9653.43,direct,
2019-10-28 04:00:00,9667.61,9567.99,9653.43,1987.98,19134645.95,9643.08,direct,
2019-10-28 05:00:00,9702.06,9629.59,9643.08,818.49,7913982.05,9630.22,direct,
2019-10-28 06:00:00,9632.14,9363.85,9630.22,3965.34,37590403.11,9467.95,direct,
2019-10-28 07:00:00,9482.25,9376.52,9467.95,2838.36,26737671.74,9467.92,direct,
2019-10-28 08:00:00,9467.92,9303.66,9467.92,2095.89,19630515.68,9379.42,direct,
2019-10-28 09:00:00,9441.3,9348.57,9379.42,1331.3,12526404.33,9425.31,direct,
2019-10-28 10:00:00,9483.0,9372.86,9425.31,1740.94,16421313.66,9442.24,direct,
2019-10-28 11:00:00,9457.97,9368.19,9442.24,1236.64,11648715.09,9427.74,direct,
2019-10-28 12:00:00,9427.98,9282.29,9427.74,2190.8,20465525.64,9350.55,direct,
2019-10-28 13:00:00,9439.27,9327.98,9350.55,2193.76,20577777.89,9384.29,direct,
2019-10-28 14:00:00,9402.69,9326.58,9384.29,2280.85,21338731.39,9346.53,direct,
2019-10-28 15:00:00,9424.72,9340.62,9346.53,1810.47,16995321.74,9407.88,direct,
2019-10-28 16:00:00,9428.14,9358.35,9407.88,1497.53,14067681.48,9376.27,direct,
2019-10-28 17:00:00,9396.97,9356.37,9376.27,752.89,7064068.93,9385.5,direct,
2019-10-28 18:00:00,9502.96,9370.19,9385.5,3254.58,30739457.55,9377.0,direct,
2019-10-28 19:00:00,9446.72,9376.71,9377.0,1095.86,10326060.37,9424.77,direct,
2019-10-28 20:00:00,9473.67,9397.92,9424.77,774.86,7311838.98,9464.08,direct,
2019-10-28 21:00:00,9504.02,9442.84,9464.08,1304.1,12363762.31,9473.28,direct,
